Player,Votes,Share,
Chris Andersen,16219,4.26E-04,
Alex Abrines,16299,4.28E-04,
Domantas Sabonis,16325,4.28E-04,
Brandon Jennings,16639,4.37E-04,
James Jones,16782,4.40E-04,
Anderson Varejao,17240,4.52E-04,
Dewayne Dedmon,17245,4.53E-04,
Andre Roberson,17977,4.72E-04,
Sergio Rodriguez,18472,4.85E-04,
Myles Turner,18655,4.90E-04,
Ben Simmons,19048,5.00E-04,
Ricky Rubio,19495,5.12E-04,
Lucas Nogueira,19837,5.21E-04,
DeAndre Liggins,20042,5.26E-04,
Larry Nance Jr.,20368,5.34E-04,
Zach Randolph,20490,5.38E-04,
Davis Bertans,20639,5.42E-04,
Patrick McCaw,21159,5.55E-04,
Danilo Gallinari,21160,5.55E-04,
Seth Curry,21717,5.70E-04,
Aaron Gordon,22774,5.98E-04,
David Lee,23334,6.12E-04,
Dennis Schroder,23565,6.18E-04,
Chris Bosh,23865,6.26E-04,
Patrick Patterson,24390,6.40E-04,
Matthew Dellavedova,24701,6.48E-04,
Malcolm Brogdon,25077,6.58E-04,
DeMarre Carroll,26782,7.03E-04,
Goran Dragic,26834,7.04E-04,
Joakim Noah,26886,7.06E-04,
Eric Bledsoe,27187,7.13E-04,
Brook Lopez,27227,7.14E-04,
George Hill,28120,7.38E-04,
Serge Ibaka,29123,7.64E-04,
Jonathon Simmons,29584,7.76E-04,
Lou Williams,29970,7.86E-04,
Nicolas Batum,30912,8.11E-04,
Jae Crowder,31413,8.24E-04,
David West,35631,9.35E-04,
Paul Pierce,38411,1.01E-03,
Terrence Ross,38516,1.01E-03,
Paul Millsap,39551,1.04E-03,
Patty Mills,40483,1.06E-03,
J.J. Redick,41211,1.08E-03,
Rajon Rondo,42247,1.11E-03,
Danny Green,43922,1.15E-03,
Channing Frye,46384,1.22E-03,
Nene,47820,1.25E-03,
Bradley Beal,48243,1.27E-03,
Brandon Ingram,50498,1.33E-03,
Corey Brewer,50870,1.33E-03,
Iman Shumpert,50970,1.34E-03,
Harrison Barnes,51467,1.35E-03,
Kyle Korver,51591,1.35E-03,
Richard Jefferson,53771,1.41E-03,
Victor Oladipo,54023,1.42E-03,
Jonas Valanciunas,57857,1.52E-03,
Julius Randle,57948,1.52E-03,
Enes Kanter,63028,1.65E-03,
Marcin Gortat,66667,1.75E-03,
Nick Young,68085,1.79E-03,
Devin Booker,70018,1.84E-03,
