Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PPG,RPG,APG,STLPG,BLKPG,MPG,Username,pagerank,eigen,load,betw,followers,Votes
2017.0,D.J. Augustin,PG,29.0,ORL,78.0,20.0,1538.0,11.0,0.524,0.53,0.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4,0.7,0.5,1.2,0.038,-0.9,-3.3,-4.2,-0.9,195.0,517.0,0.377,95.0,274.0,0.34700000000000003,100.0,243.0,0.41200000000000003,0.469,131.0,161.0,0.8140000000000001,15.0,102.0,117.0,209.0,31.0,1.0,90.0,101.0,616.0,7.897435897435898,1.5,2.6794871794871793,0.3974358974358974,0.01282051282051282,19.71794871794872,0.0,0.0,0.0,0.0,0.0,0.0,4831.0
2017.0,Luke Babbitt,SF,27.0,MIA,68.0,55.0,1065.0,8.4,0.563,0.747,0.053,1.3,13.5,7.4,4.8,1.0,0.8,8.0,13.0,0.8,1.0,1.8,0.08199999999999999,-1.0,-0.8,-1.8,0.1,113.0,281.0,0.402,87.0,210.0,0.414,26.0,71.0,0.366,0.557,11.0,15.0,0.733,13.0,129.0,142.0,36.0,21.0,11.0,25.0,118.0,324.0,4.764705882352941,2.088235294117647,0.5294117647058824,0.3088235294117647,0.16176470588235295,15.661764705882353,0.0,0.0,0.0,0.0,0.0,0.0,2853.0
2017.0,Ron Baker,SG,23.0,NYK,52.0,13.0,857.0,7.5,0.456,0.396,0.198,1.5,10.8,6.2,17.3,2.0,0.8,19.2,14.8,-0.6,0.5,-0.1,-0.008,-3.5,-0.9,-4.4,-0.5,82.0,217.0,0.37799999999999995,23.0,86.0,0.267,59.0,131.0,0.45,0.431,28.0,43.0,0.6509999999999999,12.0,86.0,98.0,107.0,34.0,8.0,56.0,74.0,215.0,4.134615384615385,1.8846153846153846,2.0576923076923075,0.6538461538461539,0.15384615384615385,16.48076923076923,0.0,0.0,0.0,0.0,0.0,0.0,10502.0
2017.0,Wade Baldwin,PG,20.0,MEM,33.0,1.0,405.0,6.4,0.40399999999999997,0.191,0.322,3.0,10.2,6.5,22.8,2.3,1.7,23.4,19.2,-0.9,0.5,-0.4,-0.045,-6.3,0.6,-5.8,-0.4,36.0,115.0,0.313,3.0,22.0,0.136,33.0,93.0,0.355,0.326,31.0,37.0,0.838,11.0,35.0,46.0,61.0,18.0,7.0,40.0,40.0,106.0,3.212121212121212,1.393939393939394,1.8484848484848484,0.5454545454545454,0.21212121212121213,12.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,2231.0
2017.0,Leandro Barbosa,SG,34.0,PHO,67.0,0.0,963.0,11.5,0.509,0.25,0.115,1.6,10.3,5.9,13.0,1.5,0.7,10.4,20.0,0.3,0.4,0.6,0.031,-2.0,-2.1,-4.1,-0.5,172.0,392.0,0.439,35.0,98.0,0.35700000000000004,137.0,294.0,0.466,0.483,40.0,45.0,0.889,15.0,89.0,104.0,81.0,31.0,8.0,48.0,82.0,419.0,6.253731343283582,1.5522388059701493,1.208955223880597,0.4626865671641791,0.11940298507462686,14.373134328358208,0.0,0.0,0.0,0.0,0.0,0.0,5429.0
2017.0,J.J. Barea,PG,32.0,DAL,35.0,6.0,771.0,17.2,0.521,0.431,0.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2,0.8,0.5,1.3,0.08,2.0,-2.6,-0.6,0.3,142.0,343.0,0.414,53.0,148.0,0.358,89.0,195.0,0.456,0.491,44.0,51.0,0.863,9.0,75.0,84.0,193.0,14.0,1.0,63.0,30.0,381.0,10.885714285714286,2.4,5.514285714285714,0.4,0.02857142857142857,22.02857142857143,jjbarea11,0.0033101009999999998,0.024611421,0.001626574,0.001672099,365617.0,6923.0
2017.0,Harrison Barnes,PF,24.0,DAL,79.0,79.0,2803.0,16.3,0.541,0.17300000000000001,0.22,3.7,13.2,8.2,7.8,1.2,0.5,6.8,25.3,2.5,2.1,4.6,0.079,-0.7,-1.2,-1.9,0.1,599.0,1280.0,0.46799999999999997,78.0,222.0,0.35100000000000003,521.0,1058.0,0.49200000000000005,0.498,242.0,281.0,0.861,94.0,303.0,397.0,117.0,66.0,15.0,102.0,128.0,1518.0,19.21518987341772,5.025316455696203,1.481012658227848,0.8354430379746836,0.189873417721519,35.48101265822785,hbarnes,0.006307147,0.065312987,0.01003172,0.009786127,1144011.0,51467.0
2017.0,Matt Barnes,SF,36.0,TOT,74.0,18.0,1777.0,10.3,0.514,0.556,0.188,4.6,19.9,12.4,15.6,1.3,1.3,17.3,15.6,0.3,1.7,2.0,0.053,-1.2,0.6,-0.6,0.6,185.0,473.0,0.391,87.0,263.0,0.331,98.0,210.0,0.467,0.483,70.0,89.0,0.787,70.0,317.0,387.0,194.0,48.0,26.0,107.0,185.0,527.0,7.121621621621622,5.22972972972973,2.6216216216216215,0.6486486486486487,0.35135135135135137,24.013513513513512,0.0,0.0,0.0,0.0,0.0,0.0,3804.0
2017.0,Will Barton,SG,26.0,DEN,60.0,19.0,1705.0,15.5,0.547,0.353,0.285,3.8,12.8,8.4,17.7,1.4,1.3,11.5,21.1,2.5,0.8,3.3,0.09300000000000001,1.3,-1.0,0.3,1.0,295.0,666.0,0.44299999999999995,87.0,235.0,0.37,208.0,431.0,0.483,0.508,143.0,190.0,0.753,58.0,200.0,258.0,206.0,48.0,28.0,97.0,110.0,820.0,13.666666666666666,4.3,3.433333333333333,0.8,0.4666666666666667,28.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,2826.0
2017.0,Brandon Bass,PF,31.0,LAC,52.0,0.0,577.0,19.7,0.65,0.016,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,1.6,0.6,2.2,0.18600000000000003,0.1,-0.8,-0.7,0.2,107.0,186.0,0.575,1.0,3.0,0.33299999999999996,106.0,183.0,0.579,0.578,77.0,88.0,0.875,43.0,86.0,129.0,21.0,14.0,11.0,29.0,45.0,292.0,5.615384615384615,2.480769230769231,0.40384615384615385,0.2692307692307692,0.21153846153846154,11.096153846153847,0.0,0.0,0.0,0.0,0.0,0.0,3175.0
