Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
45,DeAndre' Bembry\bembrde01,SG,24,ATL,72,1725,9.9,.497,.287,.197,2.5,16.6,9.5,14.6,2.3,2.0,17.6,16.8,,-1.1,1.5,0.5,.013,,-3.7,1.1,-2.6,-0.2
46,Dragan Bender\bendedr01,PF,21,PHO,36,514,8.5,.512,.545,.236,4.9,19.9,12.2,8.4,0.9,1.3,14.5,13.2,,0.0,0.2,0.2,.018,,-3.5,-1.1,-4.5,-0.3
47,Dairis Bertans\bertada02,SG,29,NOP,5,46,1.7,.385,.615,.000,4.6,4.5,4.5,5.3,0.0,0.0,13.3,13.4,,-0.1,0.0,-0.1,-0.077,,-4.9,-3.8,-8.8,-0.1
48,Davis Bertans\bertada01,PF,26,SAS,66,1428,13.4,.645,.742,.140,1.8,16.0,9.0,7.5,1.1,1.8,7.9,13.7,,2.4,1.2,3.7,.124,,1.9,-0.3,1.7,1.3
49,Patrick Beverley\beverpa01,PG,30,LAC,72,1987,11.8,.559,.573,.275,3.9,15.2,9.7,18.0,1.5,1.6,13.4,11.9,,2.7,1.9,4.6,.112,,1.2,1.3,2.5,2.3
50,Khem Birch\birchkh01,C,26,ORL,40,491,19.3,.652,.009,.537,12.6,20.2,16.4,8.8,1.4,3.9,10.7,13.3,,1.4,0.8,2.2,.217,,-0.1,2.7,2.5,0.6
51,Bismack Biyombo\biyombi01,C,26,CHO,42,601,15.2,.621,.000,.667,10.9,23.1,16.9,4.8,0.6,5.8,14.0,12.3,,1.1,0.7,1.8,.143,,-2.4,1.9,-0.6,0.2
52,Nemanja Bjelica\bjeline01,PF,30,SAC,66,1540,15.1,.577,.443,.152,7.1,19.0,12.9,11.2,1.4,2.9,12.3,16.9,,1.9,1.8,3.7,.117,,0.5,1.4,1.9,1.5
53,Antonio Blakeney\blakean01,SG,22,CHI,51,699,10.9,.499,.234,.195,0.9,12.7,6.8,6.7,0.7,1.1,8.1,24.7,,-0.6,0.2,-0.4,-0.025,,-4.7,-3.8,-8.6,-1.2
54,Eric Bledsoe\bledser01,PG,29,MIL,70,2060,19.0,.572,.384,.243,4.0,12.0,8.2,27.0,2.3,0.9,13.2,22.8,,3.9,3.4,7.3,.170,,2.3,0.8,3.2,2.7
55,Jaron Blossomgame\blossja01,SF,25,CLE,27,439,10.2,.510,.368,.123,6.3,18.9,12.3,4.3,0.8,1.6,9.0,12.2,,0.2,0.1,0.3,.033,,-3.0,-1.4,-4.3,-0.3
56,Bogdan Bogdanovic\bogdabo01,SG,26,SAC,58,1625,13.7,.522,.424,.194,1.7,11.7,6.6,19.4,1.8,0.7,11.4,22.6,,0.7,1.4,2.1,.061,,0.1,-1.0,-0.9,0.5
57,Bojan Bogdanovic\bogdabo02,SF,29,IND,72,2298,15.8,.612,.369,.296,1.6,12.5,7.2,9.0,1.3,0.0,10.1,22.1,,3.5,2.6,6.1,.127,,1.2,-1.4,-0.1,1.1
58,Andrew Bogut\bogutan01,C,34,GSW,2,32,11.7,.533,.000,.125,7.0,35.3,21.7,16.0,1.5,0.0,19.2,13.9,,0.0,0.0,0.1,.107,,-4.0,1.0,-3.0,0.0
59,Jonah Bolden\boldejo01,PF,23,PHI,37,488,12.0,.592,.575,.175,7.4,20.3,14.1,8.1,1.4,5.3,19.3,13.8,,0.2,0.8,1.0,.097,,-1.6,2.5,1.0,0.4
60,Isaac Bonga\bongais01,PG,19,LAL,12,45,7.0,.295,.231,.692,9.4,15.8,12.7,18.6,3.1,1.8,19.1,19.4,,-0.1,0.1,-0.1,-0.074,,-7.4,1.9,-5.5,0.0
61,Devin Booker\bookede01,SG,22,PHO,57,2007,19.0,.572,.333,.356,1.9,11.5,6.6,33.6,1.2,0.5,15.5,32.1,,2.3,0.4,2.7,.064,,3.1,-2.8,0.3,1.2
62,Chris Boucher\bouchch01,PF,26,TOR,24,126,23.6,.540,.508,.246,12.2,21.8,17.1,0.0,2.3,13.8,4.2,24.0,,0.2,0.3,0.6,.217,,-2.1,1.3,-0.8,0.0
63,Avery Bradley\bradlav01,SG,28,TOT,63,1905,7.7,.496,.403,.082,2.5,7.4,4.9,11.9,1.0,0.7,12.4,16.2,,-0.6,1.0,0.4,.011,,-1.7,-1.0,-2.6,-0.3
63,Avery Bradley\bradlav01,SG,28,LAC,49,1463,5.6,.464,.410,.060,2.6,6.8,4.7,8.9,0.9,0.9,12.4,14.2,,-0.9,0.7,-0.3,-0.009,,-2.3,-0.7,-3.0,-0.4
63,Avery Bradley\bradlav01,SG,28,MEM,14,442,14.6,.565,.388,.133,2.0,9.3,5.6,21.8,1.6,0.0,12.3,23.1,,0.3,0.4,0.7,.076,,0.6,-2.0,-1.4,0.1
64,Tony Bradley\bradlto01,C,21,UTA,1,9,-10.4,.000,.000,.000,24.3,11.9,18.1,0.0,0.0,0.0,25.0,19.0,,-0.1,0.0,-0.1,-0.339,,-17.4,-5.5,-22.9,0.0
65,Corey Brewer\breweco01,SF,32,TOT,19,319,11.1,.539,.393,.382,2.6,8.8,5.7,10.0,2.9,1.3,10.3,15.1,,0.2,0.4,0.6,.091,,-1.4,0.4,-1.0,0.1
65,Corey Brewer\breweco01,SF,32,PHI,7,140,10.8,.484,.286,.265,3.1,9.6,6.5,10.0,4.0,1.1,12.8,18.8,,-0.1,0.2,0.1,.047,,-3.1,1.0,-2.1,0.0
65,Corey Brewer\breweco01,SF,32,SAC,12,179,11.3,.599,.525,.525,2.3,8.2,5.2,9.9,2.1,1.4,7.5,12.2,,0.3,0.2,0.5,.124,,0.0,-0.1,-0.1,0.1
66,Mikal Bridges\bridgmi01,SF,22,PHO,72,2049,11.1,.564,.578,.214,2.6,10.0,6.2,9.8,2.7,1.3,10.4,12.1,,1.6,1.2,2.9,.067,,-0.3,0.6,0.3,1.2
67,Miles Bridges\bridgmi02,SF,20,CHO,68,1306,12.1,.529,.388,.168,4.2,16.9,10.5,6.6,1.5,2.5,8.5,15.4,,0.7,1.2,1.9,.069,,-2.0,0.2,-1.8,0.1
68,Isaiah Briscoe\briscis01,PG,22,ORL,39,559,6.8,.455,.246,.188,0.9,13.3,7.0,21.3,1.0,0.3,17.2,14.1,,-0.3,0.6,0.3,.024,,-5.1,-0.5,-5.6,-0.5
69,Ryan Broekhoff\broekry01,SG,28,DAL,32,259,9.2,.560,.760,.027,1.7,12.4,7.1,8.5,0.6,1.0,8.4,13.7,,0.2,0.2,0.3,.063,,-1.5,-1.7,-3.2,-0.1
70,Malcolm Brogdon\brogdma01,SG,26,MIL,64,1832,17.9,.614,.326,.203,3.8,11.8,8.0,16.2,1.2,0.6,10.0,20.8,,4.3,2.4,6.6,.174,,1.9,-0.3,1.6,1.7
71,Dillon Brooks\brookdi01,SF,23,MEM,18,330,7.6,.499,.328,.246,3.0,7.6,5.3,7.7,1.5,1.2,12.3,21.0,,-0.3,0.3,0.0,-0.002,,-4.2,-1.7,-5.9,-0.3
72,MarShon Brooks\brookma01,SG,30,MEM,29,387,11.7,.518,.320,.195,3.5,9.8,6.6,11.1,1.2,1.0,10.3,23.8,,-0.2,0.3,0.2,.020,,-2.9,-2.5,-5.4,-0.3
73,Bruce Brown\brownbr01,SG,22,DET,62,1221,6.5,.453,.297,.180,3.5,11.5,7.3,8.6,1.2,2.2,11.8,12.2,,-0.4,1.3,0.9,.036,,-4.1,1.5,-2.5,-0.2
74,Jaylen Brown\brownja02,SG,22,BOS,67,1738,13.3,.542,.347,.241,3.8,14.0,8.8,7.4,1.7,1.5,10.0,22.0,,0.5,2.2,2.7,.075,,-1.7,-0.6,-2.3,-0.1
75,Lorenzo Brown\brownlo01,PG,28,TOR,26,212,6.4,.380,.394,.042,2.6,13.0,7.9,17.4,2.7,2.0,18.1,17.8,,-0.5,0.3,-0.1,-0.026,,-5.7,1.6,-4.1,-0.1
76,Sterling Brown\brownst02,SG,23,MIL,48,769,10.3,.563,.521,.117,3.4,13.8,8.9,10.1,1.2,0.5,12.5,14.0,,0.5,1.0,1.6,.099,,-1.5,0.0,-1.5,0.1
77,Troy Brown\browntr01,SF,19,WAS,42,427,12.2,.477,.263,.234,5.3,20.2,12.7,18.4,1.5,0.6,10.1,16.7,,0.2,0.3,0.5,.057,,-2.7,-0.8,-3.5,-0.2
78,Jalen Brunson\brunsja01,PG,22,DAL,63,1314,12.9,.553,.316,.203,1.9,10.0,6.0,21.6,1.3,0.3,12.7,18.8,,1.3,0.8,2.2,.080,,-0.8,-1.4,-2.2,-0.1
