Player,Votes
Danilo Gallinari,0.000274693
T.J. Warren,0.000278648
Derrick Favors,0.00027905
Nikola Vucevic,0.000284478
Quincy Acy,0.000289259
Matthew Dellavedova,0.000295023
Gary Harris,0.000298195
Jabari Parker,0.000298754
Boban Marjanovic,0.000298843
Jamal Murray,0.000299156
Jakob Poeltl,0.000300787
Gerald Green,0.000301591
Jrue Holiday,0.00030177
Jerami Grant,0.000302395
Kentavious Caldwell-Pope,0.000307399
Kosta Koufos,0.000308717
Bryn Forbes,0.000310035
Channing Frye,0.000320155
Raymond Felton,0.000323708
T.J. McConnell,0.000327438
Dejounte Murray,0.000335615
Jamal Crawford,0.00034435
Taj Gibson,0.000344417
Norman Powell,0.000344752
Luc Mbah a Moute,0.000354224
Tyreke Evans,0.000360524
Ricky Rubio,0.00036287
Bojan Bogdanovic,0.000367293
John Henson,0.000367695
Kris Dunn,0.000379357
De'Aaron Fox,0.000382618
Terry Rozier,0.000396045
C.J. Miles,0.000396894
Seth Curry,0.000398413
Joe Ingles,0.000410298
Brook Lopez,0.000422384
Thon Maker,0.000427991
Jose Calderon,0.000430716
Avery Bradley,0.000431565
Georgios Papagiannis,0.000448633
Ersan Ilyasova,0.000455827
Bam Adebayo,0.000469767
Dennis Smith Jr.,0.000473721
Lance Stephenson,0.000474816
Patrick McCaw,0.000475084
P.J. Tucker,0.000488778
Courtney Lee,0.00049653
Nene,0.000502696
Marcin Gortat,0.000534687
Harrison Barnes,0.00055037
Marcus Morris,0.000562769
Dennis Schroder,0.000570364
Alex Abrines,0.000579077
Jusuf Nurkic,0.000585555
Milos Teodosic,0.000589197
Zach LaVine,0.000616898
Kelly Oubre Jr.,0.000622104
Domantas Sabonis,0.000625276
Frank Ntilikina,0.000635709
Marcus Smart,0.000653492
Jeremy Lin,0.000681953
Spencer Dinwiddie,0.000687672
Robert Covington,0.000694709
Aron Baynes,0.000704226
Nikola Mirotic,0.000716558
J.J. Barea,0.000718546
J.J. Redick,0.000734407
Larry Nance Jr.,0.000747096
Ryan Anderson,0.000748258
Davis Bertans,0.000752279
Bogdan Bogdanovic,0.000756032
Rajon Rondo,0.00078818
Otto Porter,0.000810989
Dario Saric,0.000820685
Patty Mills,0.000822919
