Player,Votes
Frank Mason III,4.42E-05
Jaron Blossomgame,4.42E-05
Zhaire Smith,4.45E-05
Luke Kornet,4.46E-05
Caleb Swanigan,4.48E-05
Treveon Graham,4.57E-05
Troy Brown Jr.,4.58E-05
Kyle O'Quinn,4.63E-05
Shake Milton,4.64E-05
Angel Delgado,4.69E-05
Bruce Brown,4.74E-05
Jahlil Okafor,4.74E-05
Walt Lemon Jr.,4.75E-05
Brandon Goodwin,4.85E-05
Jaylen Morris,4.86E-05
Damyean Dotson,4.91E-05
Donte Grantham,5.02E-05
Ray Spalding,5.05E-05
Dillon Brooks,5.05E-05
Ish Smith,5.17E-05
T.J. Leaf,5.20E-05
Elfrid Payton,5.31E-05
Malachi Richardson,5.31E-05
De'Anthony Melton,5.35E-05
Jordan Loyd,5.38E-05
Langston Galloway,5.40E-05
Daryl Macon,5.42E-05
Duncan Robinson,5.49E-05
Antonio Blakeney,5.59E-05
Denzel Valentine,5.69E-05
Chandler Hutchison,5.71E-05
Keita Bates-Diop,5.71E-05
Elie Okobo,5.73E-05
Justin Holiday,5.77E-05
Trevon Duval,5.89E-05
Alec Burks,6.16E-05
Richaun Holmes,6.30E-05
Ryan Anderson,6.38E-05
Timofey Mozgov,6.47E-05
Henry Ellenson,6.50E-05
Jason Smith,6.55E-05
Shabazz Napier,6.60E-05
Mitchell Robinson,6.84E-05
Jevon Carter,6.87E-05
Zach Randolph,6.96E-05
Thabo Sefolosha,6.96E-05
Luke Kennard,7.06E-05
Salah Mejri,7.06E-05
Wade Baldwin,7.09E-05
Isaiah Hartenstein,7.11E-05
Stanley Johnson,7.12E-05
Christian Wood,7.14E-05
Yogi Ferrell,7.17E-05
Markieff Morris,7.25E-05
Ekpe Udoh,7.28E-05
Taurean Prince,7.31E-05
Dragan Bender,7.34E-05
Devonte' Graham,7.45E-05
DeAndre' Bembry,7.52E-05
Anthony Tolliver,7.58E-05
Sam Dekker,7.59E-05
Jerryd Bayless,7.61E-05
Marquese Chriss,7.63E-05
Jonathan Isaac,7.65E-05
Ron Baker,7.68E-05
Allen Crabbe,7.70E-05
Vince Edwards,7.82E-05
Justin Anderson,7.91E-05
Raul Neto,7.91E-05
Amir Johnson,8.03E-05
Noah Vonleh,8.03E-05
Rodney McGruder,8.07E-05
Dante Cunningham,8.34E-05
Dwayne Bacon,8.43E-05
Nik Stauskas,8.46E-05
Wayne Ellington,8.55E-05
Trey Burke,8.57E-05
Jonathon Simmons,8.58E-05
Kevin Huerter,8.86E-05
Michael Carter-Williams,8.98E-05
Rodney Hood,8.98E-05
Bismack Biyombo,9.08E-05
Royce O'Neale,9.12E-05
Bobby Portis,9.17E-05
Reggie Bullock,9.43E-05
Yuta Watanabe,9.44E-05
Avery Bradley,9.45E-05
PJ Dozier,9.54E-05
Ryan Broekhoff,9.84E-05
Ike Anigbogu,9.92E-05
Alex Len,0.000100568
Brad Wanamaker,0.000100869
Luol Deng,0.000100892
Evan Turner,0.000102935
Justin Jackson,0.000103527
Mike Muscala,0.000103761
Dewayne Dedmon,0.000105894
Timothe Luwawu-Cabarrot,0.00010633
Alex Caruso,0.000106788
Harry Giles,0.000108072
Otto Porter,0.000108463
Jake Layman,0.000108474
Jared Dudley,0.000108987
Aaron Holiday,0.000109646
Joakim Noah,0.000110294
Doug McDermott,0.00011255
Marvin Williams,0.000112706
Rawle Alkins,0.000113655
Ryan Arcidiacono,0.000114292
DeMarre Carroll,0.000115955
Kenneth Faried,0.00011648
Kyle Anderson,0.000118256
Josh Jackson,0.000118557
Tomas Satoransky,0.000118848
Michael Porter Jr.,0.000120109
Robin Lopez,0.000123381
Channing Frye,0.000123839
Iman Shumpert,0.000123873
Cody Zeller,0.000124409
Michael Kidd-Gilchrist,0.000124442
Guerschon Yabusele,0.000125079
Frank Kaminsky,0.000126463
Jeff Green,0.000126542
Terrence Ross,0.000127993
Tyler Dorsey,0.00012854
Tyler Johnson,0.000130081
Semi Ojeleye,0.00013026
Rondae Hollis-Jefferson,0.00013083
Kent Bazemore,0.000131511
Frank Ntilikina,0.000131667
Maurice Harkless,0.000132013
Trey Lyles,0.000132572
Gorgui Dieng,0.000134883
Mikal Bridges,0.000137172
Johnathan Williams,0.000138724
D.J. Augustin,0.000138925
Dzanan Musa,0.000140254
Reggie Jackson,0.000141594
Ed Davis,0.000142376
Patrick Beverley,0.000143749
Ante Zizic,0.000144397
Lonnie Walker,0.000144408
Meyers Leonard,0.000144419
Emmanuel Mudiay,0.00014471
Mario Hezonja,0.000145156
James Johnson,0.000147591
Kelly Olynyk,0.000148551
Malik Monk,0.000152426
Isaac Bonga,0.000152739
Wilson Chandler,0.000154001
Thomas Bryant,0.000154637
Jaylen Adams,0.000155519
Omri Casspi,0.000156681
Tyreke Evans,0.000157607
Allonzo Trier,0.000157875
Dejounte Murray,0.000158735
Cory Joseph,0.000159148
Dion Waiters,0.000160075
Sterling Brown,0.000162297
Greg Monroe,0.000162621
Will Barton,0.000163794
Deonte Burton,0.000164185
Jonah Bolden,0.000167445
Marcin Gortat,0.000167568
Gary Clark,0.000171588
Jacob Evans,0.0001739
Chris Boucher,0.000175072
Marcus Derrickson,0.000175262
Damion Lee,0.000178266
Tony Snell,0.000181069
Zach Collins,0.000181873
Jeremy Lamb,0.000182889
Kosta Koufos,0.000183224
Pat Connaughton,0.000185145
Jalen Brunson,0.000190214
Cristiano Felicio,0.00019228
Miles Bridges,0.000193397
Rodions Kurucs,0.000200164
Torrey Craig,0.000201169
Jabari Parker,0.000201571
Brandon Knight,0.00020223
Grayson Allen,0.00020491
Dorian Finney-Smith,0.00020625
Jeff Teague,0.00020903
Nicolas Batum,0.00021008
Devin Harris,0.000213642
Landry Shamet,0.000215016
C.J. Miles,0.000217026
Shai Gilgeous-Alexander,0.000221571
Derrick Jones Jr.,0.000223357
Sviatoslav Mykhailiuk,0.000225233
Donte DiVincenzo,0.000226607
Dante Exum,0.000229108
Moritz Wagner,0.000229242
Dwight Powell,0.000229521
Monte Morris,0.000234803
Udonis Haslem,0.000236701
Damian Jones,0.000238041
James Ennis,0.000238376
Jose Calderon,0.000239783
Zaza Pachulia,0.000240364
Evan Fournier,0.000241324
George Hill,0.000244563
D.J. Wilson,0.000248549
Tyus Jones,0.00025143
Darren Collison,0.000251576
Jamal Crawford,0.000256109
Caris LeVert,0.000257784
Kris Dunn,0.000261179
Jaren Jackson Jr.,0.00026119
Wendell Carter Jr.,0.000261525
Willy Hernangomez,0.000269811
Malik Beasley,0.000271843
Joe Harris,0.000273462
Al-Farouq Aminu,0.000296499
T.J. McConnell,0.000296633
Taj Gibson,0.000298241
Wesley Matthews,0.000298498
Trevor Ariza,0.000301223
Raymond Felton,0.000302719
Robert Williams,0.000304249
Daniel Theis,0.000304662
T.J. Warren,0.000309285
Mason Plumlee,0.000309687
Nikola Mirotic,0.000310424
Jae Crowder,0.000313517
Derrick Favors,0.000315047
Willie Cauley-Stein,0.000315528
Josh Okogie,0.000316834
Matthew Dellavedova,0.00031699
Abdel Nader,0.000326672
Markelle Fultz,0.000334913
Thaddeus Young,0.000337727
Maxi Kleber,0.000338006
Marvin Bagley III,0.000344271
Thon Maker,0.000350669
Jakob Poeltl,0.000352422
Patrick Patterson,0.000356978
Kevin Knox,0.000366839
Kelly Oubre Jr.,0.000374332
Delon Wright,0.000392947
Collin Sexton,0.000407262
Dario Saric,0.000415414
Nene,0.000428066
Norman Powell,0.000434799
Alfonzo McKinnie,0.000451393
Larry Nance Jr.,0.000451751
Andre Roberson,0.000457032
Derrick White,0.000485452
Isaiah Thomas,0.000495435
Danuel House,0.000507629
Bam Adebayo,0.000518874
Montrezl Harrell,0.000527126
Juan Hernangomez,0.000530018
Julius Randle,0.000538996
Kyle Korver,0.000543932
Justise Winslow,0.000551872
Seth Curry,0.000552162
Aron Baynes,0.000553256
Tristan Thompson,0.000555612
Dwight Howard,0.000562313
Patty Mills,0.000563161
Davis Bertans,0.000582815
Ersan Ilyasova,0.000599129
Bryn Forbes,0.000606377
John Collins,0.000620458
Michael Beasley,0.000623361
Hamidou Diallo,0.000631491
Josh Richardson,0.000684376
Furkan Korkmaz,0.000684588
Austin Rivers,0.000694851
Robert Covington,0.000695308
Paul Millsap,0.000707581
J.J. Barea,0.000728898
Milos Teodosic,0.000732136
Tim Hardaway Jr.,0.0007628
Quinn Cook,0.00077409
Harrison Barnes,0.000775352
OG Anunoby,0.000776089
Gary Harris,0.000783135
Enes Kanter,0.000788607
Pau Gasol,0.000795016
Nerlens Noel,0.000808037
Terrance Ferguson,0.0008096
Alex Abrines,0.000815652
Jordan Bell,0.000816088
Kentavious Caldwell-Pope,0.000854848
Tony Parker,0.000860465
Joe Ingles,0.00086358
Tyson Chandler,0.000879269
Ricky Rubio,0.000880408
Terry Rozier,0.000888694
Mohamed Bamba,0.000908068
Lou Williams,0.000935673
Shaun Livingston,0.000993438
Myles Turner,0.000994097
Kristaps Porzingis,0.00099757
Dennis Smith Jr.,0.001008
Kevon Looney,0.00102035
Jrue Holiday,0.001048256
Jarrett Allen,0.001054375
Aaron Gordon,0.001055134
Ivica Zubac,0.001086111
Kostas Antetokounmpo,0.001098461
Deandre Ayton,0.001129438
Fred VanVleet,0.001129483
Cedi Osman,0.001134463
Marc Gasol,0.00114353
Gerald Green,0.001156394
Marco Belinelli,0.001168879
Trae Young,0.001192497
Jonas Valanciunas,0.001282244
Spencer Dinwiddie,0.001284779
Hassan Whiteside,0.001330205
Nemanja Bjelica,0.00135935
Bojan Bogdanovic,0.00136394
Marcus Smart,0.001364576
J.J. Redick,0.001370584
Rudy Gay,0.001373375
Andrew Wiggins,0.001379394
Boban Marjanovic,0.001379461
Jonas Jerebko,0.001403068
Jusuf Nurkic,0.001467969
Lauri Markkanen,0.001560519
Mike Conley,0.001582138
Buddy Hield,0.001585611
Malcolm Brogdon,0.001596465
Domantas Sabonis,0.00161078
Brook Lopez,0.00164896
P.J. Tucker,0.001672756
Lance Stephenson,0.001680707
Eric Bledsoe,0.00183627
Eric Gordon,0.00184976
John Wall,0.001887537
DeAndre Jordan,0.001937609
Marcus Morris,0.002121748
Kevin Love,0.002135416
Jordan Clarkson,0.002142373
Rudy Gobert,0.002189128
Carmelo Anthony,0.002256989
CJ McCollum,0.002291215
Josh Hart,0.002338595
Jaylen Brown,0.002382994
Tobias Harris,0.002447572
Rajon Rondo,0.002461887
Danny Green,0.002465796
D'Angelo Russell,0.002484589
Andre Iguodala,0.002622688
Jerami Grant,0.002658746
Khris Middleton,0.002658835
Dennis Schroder,0.002676345
Bogdan Bogdanovic,0.002718432
Nikola Vucevic,0.002852958
Danilo Gallinari,0.002901109
Jamal Murray,0.002910668
Andre Drummond,0.002953302
JaVale McGee,0.003528858
Bradley Beal,0.003863995
Serge Ibaka,0.00388845
De'Aaron Fox,0.004004193
Al Horford,0.00403106
Dirk Nowitzki,0.004406643
Gordon Hayward,0.004600899
Donovan Mitchell,0.004660887
Brandon Ingram,0.005002656
Jeremy Lin,0.005015722
LaMarcus Aldridge,0.00517152
Clint Capela,0.005215405
Devin Booker,0.005310177
Goran Dragic,0.00538476
Karl-Anthony Towns,0.005599016
Pascal Siakam,0.005652594
Zach LaVine,0.00580387
Chris Paul,0.005811765
Vince Carter,0.006040527
DeMarcus Cousins,0.007724282
Blake Griffin,0.009422331
Jimmy Butler,0.010136891
Kyle Lowry,0.010401375
Victor Oladipo,0.010588976
Draymond Green,0.010706238
Lonzo Ball,0.01073669
Jayson Tatum,0.01119896
DeMar DeRozan,0.011609594
Damian Lillard,0.011655679
Kyle Kuzma,0.012904088
Ben Simmons,0.013223892
Kemba Walker,0.015581292
Nikola Jokic,0.016146988
Klay Thompson,0.017622685
Steven Adams,0.019866452
Dwyane Wade,0.024662848
Russell Westbrook,0.028055036
Anthony Davis,0.028148323
Joel Embiid,0.031086349
James Harden,0.032444839
Paul George,0.034866437
Kevin Durant,0.035182478
Derrick Rose,0.03770202
Kawhi Leonard,0.039982872
Stephen Curry,0.043115221
Kyrie Irving,0.043346686
Luka Doncic,0.04738027
Giannis Antetokounmpo,0.048862845
LeBron James,0.051599389
