username,pagerank,eigen,load,betw,followers
alizejohnson24,0.002183092798112676,0.009287341846035583,0.0016909277534953165,0.0014189319508086716,36903
allencrabbe,0.0019899360052029738,0.018552728530031332,0.00039658755524249456,0.0003406472064311026,74238
amilejefferson,0.0022865958414982155,0.015205220217907345,0.0009483357662364983,0.000868725646618547,86765
andersonvarejao18,0.00283226227859598,0.027953631442626543,0.0015002053084361617,0.001309745540294929,332779
andre,0.0058935835421177725,0.0850978499218794,0.0009702491317397109,0.000953679209008746,1742059
andredrummondd,0.005022895260367852,0.0651508083988018,0.0047134259373526645,0.004773274283425043,1116385
angeldelgado,0.0013619706262636402,0.004412501944347509,0.00017850561419021426,0.00012129312091555236,91203
antdavis23,0.010027460386219468,0.14518668536044282,0.016669842517757567,0.018217500537323714,3374350
antezizic,0.0025250260690525754,0.02008313035896634,0.001724625521521678,0.0015118540000580109,60611
antsimons,0.001789585071120883,0.009047907757432899,0.0011620247728139665,0.001163299911753949,92384
atolliver44,0.004582415783331175,0.03741944760433439,0.007542148068628897,0.007270976769077282,35129
austinjrivers,0.004241960632916038,0.05489680508038897,0.0014172917009524933,0.0014107861997064402,334885
b_mclemore23,0.005275646378131778,0.07029568354971148,0.003091165169982512,0.0030744595138632613,322273
balapat,0.006889428322394532,0.017234907594358435,0.006733206297573498,0.006614033374227599,346954
bam1of1,0.004172298667699688,0.04975453657444211,0.003399757597839634,0.003381837730255903,204054
benoudrih19,0.003099842646434354,0.02894581264222099,0.0053691717579324545,0.004979233165026982,34840
bensimmons,0.006528431122398811,0.07690813817913662,0.002420803661422203,0.002495649365025415,4204023
bismackbiyombo,0.004492381171246035,0.022424527744886492,0.00982123630517667,0.009257631436731301,111812
bjohnson_23,0.0021227663884411264,0.01949175372603005,0.0002723247944180959,0.00023485923527958514,98768
blakegriffin23,0.007400287328670441,0.09206971359620149,0.00853669053368459,0.008851181193351973,3601061
blakeney96,0.004032196609958114,0.043622575843917794,0.0022230724234725465,0.002104739118097632,204352
blroberts22,0.0016086361249944311,0.014999312259178065,0.0004355774745077646,0.00035091434552136,17504
boban,0.00430900619283029,0.02818585589698936,0.0077354998216454494,0.007550983430170094,411089
bogdanbogdanovic,0.0030793967711063605,0.027998419268454314,0.004442908015442342,0.004017163239370045,529767
boogiecousins,0.012193076851066683,0.17016345798943378,0.01576423196537514,0.016310461286539107,2955676
bpaul,0.0018706106140529322,0.01045855226336965,0.0004284995670538588,0.0003813641283262445,34588
bportistime,0.002287813169352355,0.01990244804615345,0.0008021898191993234,0.0006226194114915276,108966
bradbeal3,0.008009736194227415,0.11449392784893031,0.009383638198712583,0.009779025561983769,933715
brandonknight,0.0044818079441777455,0.05566564803822787,0.006855045941208801,0.006522508524009706,157456
brucebrown11,0.002039505435605569,0.01140001870485871,0.0006391523240670059,0.0005318601924737022,26205
brunofive,0.0028267377207035044,0.018030090859176437,0.008386577364043597,0.00738447692815669,78851
brush_4,0.0033353414389732687,0.027374953440406045,0.0042967636474294585,0.003962025787647243,149711
caldwellpope,0.003136064704092487,0.03239418891238175,0.000511775405683598,0.0005060731228043641,207861
cantguard21,0.0014319909581910896,0.007627325974561019,0.0003604609812980047,0.00023309428253635308,18167
carmeloanthony,0.011700441977029501,0.16599525847580734,0.004837070442011979,0.005114604162424884,6460468
ccapela15,0.0023160121435071472,0.017577974844682633,0.0007551905849685596,0.0006523142403916392,274138
cediosman,0.0034881803573787087,0.03964838848938119,0.0020303951916216443,0.0017721375780470501,578038
channingfrye,0.005142156374628377,0.056831249460713704,0.002761791987966647,0.002751696071287479,312934
chiefhasarrived,0.0022022995781367607,0.018895321641119754,0.001119792197703391,0.0007938344860302759,80165
chrisbosh,0.004518591308053098,0.05670372583807118,0.0013329594739285339,0.0013137366866461605,2165683
courtneylee,0.0035971784683113826,0.02645309713607538,0.0071972391050458915,0.006842516906345417,157876
cp3,0.013752153498905602,0.1736676671393028,0.024248117697104082,0.02642615100666629,8950789
daanteee,0.003953891411122932,0.019919099102892603,0.004040641450859401,0.0038877017970587137,160491
dakarijohnson,0.00312084205967478,0.031819501765278944,0.003759022321290625,0.0032693320989843687,86355
damianlillard,0.009853366165173455,0.13683906165613963,0.012830171391594383,0.014189155895129438,5740578
danilogallogallinari,0.002638450895488191,0.017925247510582568,0.0013756386364992884,0.0012552448145419742,335449
dbook,0.008215997107140481,0.11336486547111523,0.008016383290046657,0.008227509646787413,2425129
deandre,0.010049805390475411,0.12429950995784546,0.010395855401508874,0.011194980955062593,2141976
deandreayton,0.00292253422873596,0.03030805572102339,0.00027447688912168297,0.00027080893545991644,374560
demar_derozan,0.009104952948309467,0.13054608313900146,0.005336482724178889,0.005943710867411904,2444831
devinharris34,0.002421163830646033,0.01663096734580585,0.00014280300909118909,0.0001461590679306645,33562
diawboris,0.005904953349051563,0.015224587644985941,0.0017067952172235923,0.0016221215106867878,257813
dlee042,0.004080948616164361,0.038148911836860096,0.002384105927116399,0.0022266365990660413,454179
dloading,0.007689926225518057,0.09494063862173072,0.013927660079548165,0.01430485549343689,2904964
dreadheadjizzle,0.001966208163623755,0.01478590679163575,0.00023467144901180827,0.00020914010731222152,100409
drewroc5,0.0029237720868297346,0.026588772664190744,0.002178441462070214,0.001955089747727306,173610
ds17_fg,0.004294950254105454,0.03657213346005712,0.0016492452615419126,0.0016044175757405723,1407180
dubblea74,0.0028410990512470267,0.037046926192338424,1.662466374131362e-05,1.6850536520247788e-05,5401
dulenader2,0.0025624907660903432,0.02235156296571762,0.0017043917637954245,0.0013894485145256531,51928
dwighthoward,0.0052201313304917835,0.06205904916148698,0.001596706634242274,0.0016500459777153175,1999941
dwill8,0.005362896556158421,0.06346919093871359,0.00466661410494778,0.004681969425869533,313530
dwyanewade,0.01727266641259745,0.2103654455823743,0.03832656150338334,0.040449224593822906,13551612
easymoneysniper,0.013960864319024541,0.17154174241414458,0.022926307833480274,0.0238044074627439,10463325
ekpeudoh,0.00379823829002477,0.03459898661696521,0.0047156339986504274,0.0045139334649276636,161484
eneskanter11,0.0024535686382947046,0.01619518013442942,0.0,0.0,357357
fchwpo,0.006278019314634574,0.08099414500773727,0.004692698622478651,0.004604595338105504,985936
flydre21,0.003313654822526772,0.03399389012851711,0.0032003873924868528,0.002858940327085838,168074
foyeboy,0.0032721449204963166,0.04100772201433243,0.002596088280556802,0.0025393831270596706,
g.green14,0.006360968296515236,0.07725003711941732,0.004705828602041301,0.004591174437691309,627768
giannis_an34,0.004280775951934237,0.036181110420903745,0.002072422957874878,0.001969220203472436,4706806
gmb_chum12,0.004405003544921563,0.058274788213783686,0.0016171068201568477,0.001515732138445735,615973
gordonhayward,0.0027617077288278565,0.024544742470059028,0.00010735341629164574,0.00012636198352066055,1526813
graysonjallen,0.002195797762757255,0.01746489790657644,0.0006753708655883786,0.0005454955468840434,470249
hbarnes,0.006307147299709666,0.06531298652446342,0.010031719602222003,0.00978612651379834,1144011
houseobayne,0.003253236080309461,0.019364821151921844,0.00259244109452028,0.002393122684112649,144113
iamamirjohnson,0.0055442602609454975,0.0690331768993597,0.004881824784468113,0.0047365381152009,201612
iammontaellis,0.0018694283202080714,0.02144865767808217,0.0005588209809945628,0.0004958539027777171,118604
iclark21,0.004335423071547829,0.04679457797367587,0.003730578859266688,0.003548413000134574,195202
imanshumpert,0.009376315459245962,0.1357749980718757,0.0074956053240810465,0.007620057603838435,1840299
imfelicio,0.0023445614371152045,0.017457192296979465,0.0012246332253865316,0.0010982913451624418,75827
isaiahthomas,0.011820555224821568,0.1483130183758508,0.016805578337029888,0.01728221747332463,3668747
iso_zo,0.004929903464362077,0.0560600346164071,0.004196526853374782,0.004144584983760883,217216
jah8,0.005822075757741547,0.06322991297739516,0.009839700234012972,0.009736421615483968,581315
jakob,0.0024566460865997697,0.01217654795091437,0.0013469037451914606,0.001159940386949383,70763
jaren,0.003010298134284127,0.024517827777978007,0.0063499615657069,0.005693291369860379,106100
jaytatum0,0.008943756681703472,0.11013887147702914,0.009484155988629542,0.009808296492431328,2368329
jcrossover.11,0.0008059611035902292,4.334011847323257e-17,0.0,0.0,16988
jeffteague,0.003322059728586817,0.023326817081938248,0.0017460744461928425,0.0015189514134831825,126299
jharden13,0.012240694876779892,0.16472430349762554,0.006750967040384128,0.007379600969472569,9825397
jhart,0.004887949184857102,0.04597876218542036,0.0016812091688740438,0.001621295222811531,643093
jimmybutler,0.009163790435155594,0.11877891036696249,0.005747723326608472,0.005873028531504555,4114866
jjbarea11,0.003310101372556836,0.02461142068664819,0.0016265741330341713,0.0016720985908815396,365617
jlin7,0.0034259846524194748,0.03533827418544295,0.0015832509741896138,0.0014478543327521255,1713439
jmcalderon8,0.003425161287492283,0.03345914849522062,0.00345993639158057,0.0032449528827162466,97602
joeingles7,0.004535338684061972,0.026602170096044535,0.007301906818254546,0.007086547367685017,165789
joelembiid,0.008223014017266892,0.0955732073395097,0.00802844224923327,0.008390120262111297,3536854
