ï»¿id,username,full_name,user_profile,followed_by_viewer,requested_by_viewer,user_follows,user_followed_by,profile_pic_url,profile_pic_url_hd,is_private,follows_count,followed_by_count,media_count,latestPostDate,follows_viewer,biography,is_verified,is_business_account,business_category_name
18706841,ygtrece,Paul George,https://www.instagram.com/ygtrece,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/e54d635da7d59d605c72621c71ec436e/5D6D4EA4/t51.2885-19/s150x150/21819761_426643537731893_8129296162638266368_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
7880077660,jamal381_fg,Jamal _Ÿ”’_Ÿ’«,https://www.instagram.com/jamal381_fg,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/f49fa06c237d7ac65332a31be5453a50/5D5A83DB/t51.2885-19/s150x150/52629698_531544797368989_222540973073235968_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,FALSE,,
680927360,elfrid,,https://www.instagram.com/elfrid,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/f34e6378f4fcd649037a379666933f56/5D5A9DEE/t51.2885-19/s150x150/36148117_402789483543986_8706392819209601024_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
1505597170,luciano_loco030,Luciano Loco,https://www.instagram.com/luciano_loco030,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/80aeb9aeeb54ff29de3d6b1996b16584/5D57F45B/t51.2885-19/s150x150/51484241_1489685867834669_6260382036167491584_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
257838811,mbeli21,Marco Belinelli,https://www.instagram.com/mbeli21,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/bfb2b3e383f8a8bc6151dff089e398dc/5D6EF545/t51.2885-19/s150x150/44858419_580802495723120_6949566348343115776_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
596326439,ersanilyasova7,Ersan Ilyasova,https://www.instagram.com/ersanilyasova7,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/934272e7cb4c38d169f25cfcc787661e/5D6111F4/t51.2885-19/s150x150/38080727_229744257727003_6984004113381982208_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
26832639,davidoofficial,Davido Adeleke,https://www.instagram.com/davidoofficial,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/83e9951d5254a838713c107eea79286f/5D5A361A/t51.2885-19/s150x150/50019890_577213372746176_3414664038733316096_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
5326241572,_prince__malick_,Malick,https://www.instagram.com/_prince__malick_,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/8aa09403a5372d9fe4f8144f35402c1d/5D6A0DB4/t51.2885-19/s150x150/37860650_2154066938150179_7397878767026176000_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,FALSE,,
2251971129,dtheis10,Daniel Theis,https://www.instagram.com/dtheis10,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/3bc642b7c5fa0886ec810b824f22a054/5D6CC095/t51.2885-19/s150x150/42166121_2168869410037428_5094024508059156480_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
800754947,princeboateng,Kevin Prince Boateng,https://www.instagram.com/princeboateng,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/04f1c349f8703669b5ab1abbe31f3d3a/5D746457/t51.2885-19/s150x150/54800585_839910183026106_5049583841497317376_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
211849705,timmyjr10,Tim Hardaway Jr,https://www.instagram.com/timmyjr10,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/0a277b81de0ae743c374e512f92bee4c/5D5587AA/t51.2885-19/s150x150/49907450_554127815053932_7671373681615962112_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
309223287,aubameyang97,Aubameyang,https://www.instagram.com/aubameyang97,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/9374949d9142cefad6606685339d5fcf/5D3C4CF7/t51.2885-19/s150x150/54212908_2221618588088108_8588562478797946880_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
48674086,dloading,D'Angelo Russell,https://www.instagram.com/dloading,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/83aeae58f3cd13a4861b06c220b8a7fd/5D758895/t51.2885-19/s150x150/52127380_490562361473456_6287010287941844992_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,TRUE,,
3937436670,mbye_babou_jarra,Mbye Jarra,https://www.instagram.com/mbye_babou_jarra,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-2.cdninstagram.com/vp/da03a041d48a7deea62a25384030210e/5D52F3B2/t51.2885-19/s150x150/14334281_509706335905731_482606836_a.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com,,,,,,,,,FALSE,,
