username,pagerank,eigen,load,betw,followers
jmcalderon8,0.003932499561242943,0.0381817951768854,0.004268633749524733,0.004016949215757942,97600
joeingles7,0.005010657440859955,0.028483999535227462,0.008072977988814282,0.007895411059316421,165785
joelembiid,0.008910620077514086,0.10019944930910192,0.008884662065609329,0.009306201312467583,3536844
johnwall,0.014994748426919571,0.1880157140921359,0.02038870593730281,0.02130104844719796,4263976
jrue_holiday11,0.005710605260001027,0.07555306767640073,0.012381229427075795,0.011922962989389116,200340
juliusrandle30,0.005920475594245726,0.07247821062717827,0.005543055167687804,0.00540030830366066,752563
karltowns,0.006457358138507793,0.06617531565318008,0.009475058250799086,0.00935037476931241,2382647
kennethfaried35,0.00541095369625641,0.06009279654987601,0.008372535789174016,0.008047547065641276,
kevinlove,0.009957262725185103,0.13445130748873765,0.008680377330801636,0.009235475544350003,2931378
kingjames,0.017980533640850494,0.1986026016880486,0.015954225414028307,0.017271774229241314,48967103
kkorv26,0.005298882918061661,0.04688321069250236,0.009769488691976821,0.00952831026581762,727898
klaythompson,0.0072592187439723425,0.07785260086198251,0.004676803311678497,0.0045037694750637855,6180385
kostas__ante13,0.002484340356123116,0.012391065715242002,0.0025926499071192923,0.0024613927703251194,357299
kporzee,0.0038072366365856413,0.03163107099152069,0.0021322266482474714,0.001942513280614962,1641028
kuz,0.009534665248661811,0.10863217959449238,0.009447853725005666,0.01005966096877642,3015356
kw15,0.0008710401261690917,2.8179628715118568e-18,0.0,0.0,13
kyle_lowry7,0.0070028312636519745,0.10573119272808795,0.003687536757249075,0.0036905380524227924,1193965
kyrieirving,0.014608610186179235,0.1876556472240655,0.019176002700459195,0.020028586729227672,12631520
leafsquad,0.0034112674844793234,0.02473683689595613,0.003805812497723772,0.0034690303781712483,107293
louwillville,0.009233732287210627,0.1119769534407699,0.00820848182995861,0.00831102130389316,799501
lucmbahamoute,0.0029689175081276708,0.033254125435563095,0.0025883859297302614,0.0022301712116175976,57402
lukadoncic,0.00926849732825712,0.08873418691955254,0.01913465814017667,0.019842188640407477,2677113
mac11,0.004107640341168467,0.052429519995526176,0.0019412753179303178,0.0018531596961367017,453766
manuginobili,0.005225837609705658,0.020966676388646466,0.0003472702554988497,0.00031136211294111266,1106646
marcgasol,0.005382962380787847,0.04076016530025994,0.019960074079201424,0.018786218099969373,317055
markellefultz,0.006674905204031589,0.07515835567431371,0.0,0.0,2128744
